rtm_var,inst_var,r,p_value,n,sig
threat_robot,epl,0.07046336892518341,0.7269033003022967,27,
threat_robot,socx,-0.35261930253921936,0.07122909006550916,27,.
threat_robot,ud,-0.3533684408330292,0.07658490061180946,26,.
threat_ai,epl,0.09667747796633437,0.6314359870269479,27,
threat_ai,socx,-0.382740594904816,0.04878855852914262,27,*
threat_ai,ud,-0.3041607844446315,0.1308648395020514,26,
threat_platform,epl,0.06572982594526529,0.7446261103542517,27,
threat_platform,socx,-0.4170045431831548,0.030467033920583454,27,*
threat_platform,ud,-0.37922084040770226,0.05605355712221432,26,.
threat_skills,epl,0.1239149380436165,0.5380304511863743,27,
threat_skills,socx,-0.40819122786545015,0.034539037186503925,27,*
threat_skills,ud,-0.3761159730012977,0.058263640161077324,26,.
threat_foreign,epl,0.035183355647517504,0.861691814511048,27,
threat_foreign,socx,-0.29847606503702606,0.130469685259482,27,
threat_foreign,ud,-0.5289425420443538,0.005464586456513962,26,**
threat_offshored,epl,-7.650237775044462e-4,0.996978363373421,27,
threat_offshored,socx,-0.31809654075749744,0.10588149694943591,27,
threat_offshored,ud,-0.3978998396884423,0.044102767383094044,26,*
opp_worklife,epl,0.10681353172011834,0.5959193888940659,27,
opp_worklife,socx,-0.5513176388278113,0.002875985875321373,27,**
opp_worklife,ud,-0.1249230306446932,0.5431563641596626,26,
opp_physical,epl,0.17973375940962882,0.3696824614854174,27,
opp_physical,socx,-0.44374622113535184,0.020419054313523925,27,*
opp_physical,ud,-0.4072956527327404,0.03890546860741404,26,*
opp_mental,epl,0.17370220812556583,0.3862224033303995,27,
opp_mental,socx,-0.4473654757053831,0.01929708280516039,27,*
opp_mental,ud,-0.19983286434711126,0.32769968353091117,26,
